number,line_class,design_code,design_temp_range_deg_c,material,rt_ut_nde_percent,mt_pt_nde_percent,nde_percent,ht_max_value,pmi_percent,comments,line_class_normalized,content
136,600K5D (AG) & (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600K5DAGUG,Pipe line class 600K5D (AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS).
137,600K5E (AG) & (UG),ASME B31.8,-46 / 88,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600K5EAGUG,Pipe line class 600K5E (AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 88 deg C. Material LTCS NACE - API X60 (SMLS).
138,600K5F(AG) & (UG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600K5FAGUG,Pipe line class 600K5F(AG) & (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SMLS).
139,600K5G(AG) & (UG),ASME B31.8,-46 / 95,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,600K5GAGUG,Pipe line class 600K5G(AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 95 deg C. Material Inconel 825. PMI 100.0.
140,600K5H(AG) & (UG),ASME B31.8,-46 / 95,LTCS NACE - API X60 (SMLS),100 BW/5 SKT,100 SKT,100,235HB,,,600K5HAGUG,Pipe line class 600K5H(AG) & (UG). Design code ASME B31.8. Design temperature range -46 / 95 deg C. Material LTCS NACE - API X60 (SMLS).
141,600N01,ASME B31.3,-110 / 120,316/L SS,100 BW/SKT,100 SKT,0,,100,,600N01,Pipe line class 600N01. Design code ASME B31.3. Design temperature range -110 / 120 deg C. Material 316/L SS. PMI 100.0.
142,600P09,ASME B31.3,-46 / 175,316/L SS,5 BW/SKT,100 SKT,0,,100,,600P09,Pipe line class 600P09. Design code ASME B31.3. Design temperature range -46 / 175 deg C. Material 316/L SS. PMI 100.0.
143,600P21,ASME B31.3,-140 / 350,316/316L SS,100 BW/5 SKT,100 SKT,0,,100,,600P21,Pipe line class 600P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. PMI 100.0.
144,600P22,ASME B31.3,-46 / 350,316/316L SS,100 BW/5 SKT,100 SKT,0,,100,,600P22,Pipe line class 600P22. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material 316/316L SS. PMI 100.0.
145,600L01,ASME B31.3,-85 / 120,3.5% Ni - Steel,5 BW/SKT,100 SKT,0,,100,,600L01,Pipe line class 600L01. Design code ASME B31.3. Design temperature range -85 / 120 deg C. Material 3.5% Ni - Steel. PMI 100.0.
146,600PL,ASME B31.8,-40 / 100,API 5L X60,100 BW/5 SKT,100 BW/SKT,100,235HB,,,600PL,Pipe line class 600PL. Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material API 5L X60.
147,900A80,ASME B31.3,-46 / 300,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,900A80,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -46 / 300 deg C. Material Inconel 825. PMI 100.0.
148,900C80,ASME B31.3,-46 / 200,Inconel 825,100 BW/5 SKT,100 SKT,0,,100,,900C80,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material Inconel 825. PMI 100.0.
149,900D01,ASME B31.3,-46 / 100,Super Duplex UNS S32760,5 BW/SKT,100 SKT,0,,100,,900D01,Pipe line class 900D01. Design code ASME B31.3. Design temperature range -46 / 100 deg C. Material Super Duplex UNS S32760. PMI 100.0.
150,900H01,ASME B31.3,-46 / 70,LTCS,100 BW/5 SKT,100 SKT,0,,,,900H01,Pipe line class 900H01. Design code ASME B31.3. Design temperature range -46 / 70 deg C. Material LTCS.
151,900H21,ASME B31.3,-40 / 410,LTCS,100 BW/5 SKT,100 BW/SKT,100,200HB,,HT only for welds with PWHT,900H21,Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS. Comments HT only for welds with PWHT.
152,900H22,ASME B31.3,-29 / 410,LTCS,100 BW/5 SKT,100 BW/SKT,100,200HB,,HT only for welds with PWHT,900H22,Pipe line class 900H22. Design code ASME B31.3. Design temperature range -29 / 410 deg C. Material LTCS. Comments HT only for welds with PWHT.
153,900H25,ASME B31.3,-46 / 410,LTCS,5 BW/SKT,100 SKT,100,200HB,,HT only for welds with PWHT,900H25,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -46 / 410 deg C. Material LTCS. Comments HT only for welds with PWHT.
154,900H2G,ASME B31.3,-46 / 85,LTCS Galv/Scrd,,,,,,,900H2G,Pipe line class 900H2G. Design code ASME B31.3. Design temperature range -46 / 85 deg C. Material LTCS Galv/Scrd.
