id,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,thickness_min_mm,thickness_max_mm,content
218,1500A60,ASME B31.3,-100 / 110,Inconel 625 (NACE),> 6,12.7,42AW,N,,1500A60,12.7,12.7,Pipe line class 1500A60. Design code ASME B31.3. Design temperature range -100 / 110 deg C. Material Inconel 625 (NACE). Diameter > 6 in. Thickness range 12.7 mm. WPS number 42AW. PWHT N.
219,1500F22,ASME B31.3,-40 / 155,LTCS NACE,3/4 - 1 1/2,7.82 - 10.15,20PW,Y,,1500F22,7.82,10.15,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material LTCS NACE. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 10.15 mm. WPS number 20PW. PWHT Y.
220,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,≤ 4,7.00 - 10.00,HP700PW,Y,,1500F22,7,10,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter ≤ 4 in. Thickness range 7.00 - 10.00 mm. WPS number HP700PW. PWHT Y.
221,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,6 - 8,13.00 - 16.00,Contact MI Engineer,Y,,1500F22,13,16,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter 6 - 8 in. Thickness range 13.00 - 16.00 mm. WPS number Contact MI Engineer. PWHT Y.
222,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,10 - 12,19.00 - 22.00,Contact MI Engineer,Y,,1500F22,19,22,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter 10 - 12 in. Thickness range 19.00 - 22.00 mm. WPS number Contact MI Engineer. PWHT Y.
223,1500F22,ASME B31.3,-40 / 155,2-1/4Cr F22 Modified,> 14,24.00- 47.50,Contact MI Engineer,Y,,1500F22,24,47.5,Pipe line class 1500F22. Design code ASME B31.3. Design temperature range -40 / 155 deg C. Material 2-1/4Cr F22 Modified. Diameter > 14 in. Thickness range 24.00- 47.50 mm. WPS number Contact MI Engineer. PWHT Y.
224,1500H1,ASME B31.3,-40 / 343,LTCS NACE,3/4 - 3,5.56 - 8.74,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",1500H1,5.56,8.74,"Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2""."
225,1500H1,ASME B31.3,-40 / 343,LTCS NACE,4 - 4,13.49 - 13.49,21AW,N,,1500H1,13.49,13.49,Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter 4 - 4 in. Thickness range 13.49 - 13.49 mm. WPS number 21AW. PWHT N.
226,1500H1,ASME B31.3,-40 / 343,LTCS NACE,≥ 6,21.95 - 34.00,21PW,Y,,1500H1,21.95,34,Pipe line class 1500H1. Design code ASME B31.3. Design temperature range -40 / 343 deg C. Material LTCS NACE. Diameter ≥ 6 in. Thickness range 21.95 - 34.00 mm. WPS number 21PW. PWHT Y.
227,1500K1,ASME B31.3,-40 / 126,LTCS NACE,3/4 - 3,7.82 - 11.07,20PW,Y,,1500K1,7.82,11.07,Pipe line class 1500K1. Design code ASME B31.3. Design temperature range -40 / 126 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 7.82 - 11.07 mm. WPS number 20PW. PWHT Y.
228,1500K1,ASME B31.3,-40 / 126,LTCS NACE,4 - 20,17.12 - 54.00,21PW,Y,,1500K1,17.12,54,Pipe line class 1500K1. Design code ASME B31.3. Design temperature range -40 / 126 deg C. Material LTCS NACE. Diameter 4 - 20 in. Thickness range 17.12 - 54.00 mm. WPS number 21PW. PWHT Y.
229,1500P1,ASME B31.3,-50 / 200,316/316L SS,3/4 - 3,5.56 - 8.74,"25AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",1500P1,5.56,8.74,"Pipe line class 1500P1. Design code ASME B31.3. Design temperature range -50 / 200 deg C. Material 316/316L SS. Diameter 3/4 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number 25AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2""."
230,1500P1,ASME B31.3,-50 / 200,316/316L SS,> 3,17.12 - 18.26,14AW,N,,1500P1,17.12,18.26,Pipe line class 1500P1. Design code ASME B31.3. Design temperature range -50 / 200 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 17.12 - 18.26 mm. WPS number 14AW. PWHT N.
231,1500P2,ASME B31.3,-100 / 200,316/316L SS,3/4 - 3,5.56 - 8.74,25AW,N,,1500P2,5.56,8.74,Pipe line class 1500P2. Design code ASME B31.3. Design temperature range -100 / 200 deg C. Material 316/316L SS. Diameter 3/4 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number 25AW. PWHT N.
232,1500P2,ASME B31.3,-100 / 200,316/316L SS,> 3,17.12 - 17.12,14AW,N,,1500P2,17.12,17.12,Pipe line class 1500P2. Design code ASME B31.3. Design temperature range -100 / 200 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 17.12 - 17.12 mm. WPS number 14AW. PWHT N.
233,2500A60,ASME B31.3,-100 / 180,Inconel 625 (NACE),3/4 - 4,3.91 - 8.56,43AW,N,,2500A60,3.91,8.56,Pipe line class 2500A60. Design code ASME B31.3. Design temperature range -100 / 180 deg C. Material Inconel 625 (NACE). Diameter 3/4 - 4 in. Thickness range 3.91 - 8.56 mm. WPS number 43AW. PWHT N.
234,2500A60,ASME B31.3,-100 / 180,Inconel 625 (NACE),≥ 4,11.13 - 14.27,42AW,N,,2500A60,11.13,14.27,Pipe line class 2500A60. Design code ASME B31.3. Design temperature range -100 / 180 deg C. Material Inconel 625 (NACE). Diameter ≥ 4 in. Thickness range 11.13 - 14.27 mm. WPS number 42AW. PWHT N.
235,2500F22,ASME B31.3,-40 / 180,LTCS NACE,3/4 - 1 1/2,7.82 - 11.00,20PW,Y,,2500F22,7.82,11,Pipe line class 2500F22. Design code ASME B31.3. Design temperature range -40 / 180 deg C. Material LTCS NACE. Diameter 3/4 - 1 1/2 in. Thickness range 7.82 - 11.00 mm. WPS number 20PW. PWHT Y.
