idid,line_class,design_code,temp_range_deg_c,material,dia_in,thickness_range_mm,wps_number,pwht,comments,line_class_normalized,content,dia_in1,dia_in2
148,600K5D (UG),ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 5.54,"F-001AW, Note (6)",N,For below ground pipeline welds only,600K5DUG,"Pipe line class 600K5D (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 5.54 mm. WPS number F-001AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",0.75,3
149,600K5D (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),4 - 12,5.16 - 8.38,"F-002AW, Note (6)",N,For below ground pipeline welds only,600K5DUG,"Pipe line class 600K5D (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 5.16 - 8.38 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",4,12
150,600K5D (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),> 12,8.74 - 12.7,"F-017AW, Note (6)",N,For below ground pipeline welds only,600K5DUG,"Pipe line class 600K5D (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 8.74 - 12.7 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",12.1,100
151,600K5D (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SAW),28,14.27,"F-003AW, F-008AW, Note (6)",N,For below ground pipeline welds only,600K5DUG,"Pipe line class 600K5D (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SAW). Diameter 28 in. Thickness range 14.27 mm. WPS number F-003AW, F-008AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",28,28
152,600K5E (AG),ASME B31.8,-40 / 88,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),1/2 - 3,5.56 - 8.74,"F-001PW, Note (6)",Y,For above ground welds only,600K5EAG,"Pipe line class 600K5E (AG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 1/2 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only.",0.5,3
153,600K5E (AG),ASME B31.8,-40 / 88,LTCS NACE - API X60 (SMLS),4 - 12,6.35 - 11.13,"F-002PW, Note (6)",Y,For above ground welds only,600K5EAG,"Pipe line class 600K5E (AG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.35 - 11.13 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only.",4,12
154,600K5E (AG),ASME B31.8,-40 / 88,LTCS NACE - API X60 (SMLS),> 12,11.91 - 20.62,"F-017PW, Note (6)",Y,For above ground welds only,600K5EAG,"Pipe line class 600K5E (AG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 11.91 - 20.62 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only.",12.1,100
155,600K5E (UG),ASME B31.8,-40 / 88,LTCS NACE - API X60 (SMLS),4 - 12,6.35 - 11.13,"F-002AW, Note (6)",N,"For below ground pipeline welds only. UG, NPS 26” (3GI Feed Gas) with PWHT",600K5EUG,"Pipe line class 600K5E (UG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.35 - 11.13 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only. UG, NPS 26” (3GI Feed Gas) with PWHT.",4,12
156,600K5E (UG),ASME B31.8,-40 / 88,LTCS NACE - API X60 (SMLS),> 12,11.91 - 17.48,"F-017AW, Note (6)",N,"For below ground pipeline welds only. UG, NPS 26” (3GI Feed Gas) with PWHT",600K5EUG,"Pipe line class 600K5E (UG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 11.91 - 17.48 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only. UG, NPS 26” (3GI Feed Gas) with PWHT.",12.1,100
157,600K5E (UG),ASME B31.8,-40 / 88,LTCS NACE - API X60 (SMLS),26,15.88 - 19.05,"F-017PW, Note (6)",Y,"For below ground pipeline welds only. UG, NPS 26” (3GI Feed Gas) with PWHT",600K5EUG,"Pipe line class 600K5E (UG). Design code ASME B31.8. Design temperature range -40 / 88 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 26 in. Thickness range 15.88 - 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For below ground pipeline welds only. UG, NPS 26” (3GI Feed Gas) with PWHT.",26,26
158,600K5F (AG),ASME B31.8,-40 / 100,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,3.91 - 7.62,"F-001PW, Note (6)",Y,For above ground welds only,600K5FAG,"Pipe line class 600K5F (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 3.91 - 7.62 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only.",0.75,3
159,600K5F (AG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SMLS),4 - 12,6.02 - 10.31,"F-002PW, Note (6)",Y,For above ground welds only,600K5FAG,"Pipe line class 600K5F (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 10.31 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only.",4,12
160,600K5F (AG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SMLS),> 12,10.31 - 19.05,"F-017PW, Note (6)",Y,For above ground welds only,600K5FAG,"Pipe line class 600K5F (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 10.31 - 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only.",12.1,100
161,600K5F (AG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SAW),28,19.05,"F-003PW, F-008PW, Note (6)",Y,For above ground welds only,600K5FAG,"Pipe line class 600K5F (AG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SAW). Diameter 28 in. Thickness range 19.05 mm. WPS number F-003PW, F-008PW, Note (6). PWHT Y. Comments For above ground welds only.",28,28
162,600K5F (UG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SMLS),4 - 12,6.02 - 10.31,"F-002AW, Note (6)",N,For below ground pipeline welds only,600K5FUG,"Pipe line class 600K5F (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.02 - 10.31 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",4,12
163,600K5F (UG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SMLS),> 12,10.31 - 15.88,"F-017AW, Note (6)",N,For below ground pipeline welds only,600K5FUG,"Pipe line class 600K5F (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 10.31 - 15.88 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",12.1,100
164,600K5F (UG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SMLS),24,19.05,"F-017PW, Note (6)",Y,For below ground pipeline welds only,600K5FUG,"Pipe line class 600K5F (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 24 in. Thickness range 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For below ground pipeline welds only.",24,24
165,600K5F (UG),ASME B31.8,-40 / 100,LTCS NACE - API X60 (SAW),28,19.05,"F-003PW, F-008PW, Note (6)",Y,For below ground pipeline welds only,600K5FUG,"Pipe line class 600K5F (UG). Design code ASME B31.8. Design temperature range -40 / 100 deg C. Material LTCS NACE - API X60 (SAW). Diameter 28 in. Thickness range 19.05 mm. WPS number F-003PW, F-008PW, Note (6). PWHT Y. Comments For below ground pipeline welds only.",28,28
166,600K5G (AG),ASME B31.8,-40 / 95,Incoloy 825,3/4-3,3.91 - 7.62,51AW,N see Note (7),For above ground welds only,600K5GAG,Pipe line class 600K5G (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material Incoloy 825. Diameter 3/4-3 Solid in. Thickness range 3.91 - 7.62 mm. WPS number 51AW. PWHT N see Note (7). Comments For above ground welds only.,0.75,3
167,600K5G (AG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding,6-16,7.11 - 12.70,Contact MI Engineer,N see Note (7),For above ground welds only,600K5GAG,Pipe line class 600K5G (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding. Diameter 6-16 in. Thickness range 7.11 - 12.70 mm. WPS number Contact MI Engineer. PWHT N see Note (7). Comments For above ground welds only.,6,16
168,600K5G (UG),ASME B31.8,-40 / 95,Incoloy 825,3/4-3,3.91 - 7.62,51AW,N see Note (7),For below ground pipeline welds only,600K5GUG,Pipe line class 600K5G (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material Incoloy 825. Diameter 3/4-3 Solid in. Thickness range 3.91 - 7.62 mm. WPS number 51AW. PWHT N see Note (7). Comments For below ground pipeline welds only.,0.75,3
169,600K5G (UG),ASME B31.8,-40 / 95,LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding,6-16,7.11 - 12.70,Contact MI Engineer,N see Note (7),For below ground pipeline welds only,600K5GUG,Pipe line class 600K5G (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS  - API 5L X60 (SMLS) + 3 mm  825 internal cladding. Diameter 6-16 in. Thickness range 7.11 - 12.70 mm. WPS number Contact MI Engineer. PWHT N see Note (7). Comments For below ground pipeline welds only.,6,16
170,600K5H (AG),ASME B31.8,-40 / 95,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),1/2 - 3,5.56 - 8.74,"F-001PW, Note (6)",Y,For above ground welds only,600K5HAG,"Pipe line class 600K5H (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 1/2 - 3 in. Thickness range 5.56 - 8.74 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only.",0.5,3
171,600K5H (AG),ASME B31.8,-40 / 95,LTCS NACE - API X60 (SMLS),4 - 12,6.35 - 18.26,"F-002PW, Note (6)",Y,For above ground welds only,600K5HAG,"Pipe line class 600K5H (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.35 - 18.26 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only.",4,12
172,600K5H (AG),ASME B31.8,-40 / 95,LTCS NACE - API X60 (SMLS),> 12,14.27 - 20.62,"F-017PW, Note (6)",Y,For above ground welds only,600K5HAG,"Pipe line class 600K5H (AG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 14.27 - 20.62 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only.",12.1,100
173,600K5H (UG),ASME B31.8,-40 / 95,LTCS NACE - API X60 (SMLS),4 - 12,6.35 - 12.7,"F-002AW, Note (6)",N,For below ground pipeline welds only,600K5HUG,"Pipe line class 600K5H (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 6.35 - 12.7 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",4,12
174,600K5H (UG),ASME B31.8,-40 / 95,LTCS NACE - API X60 (SMLS),> 12,14.27 - 17.48,"F-017AW, Note (6)",N,For below ground pipeline welds only,600K5HUG,"Pipe line class 600K5H (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 14.27 - 17.48 mm. WPS number F-017AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",12.1,100
175,600K5H (UG),ASME B31.8,-40 / 95,LTCS NACE - API X60 (SMLS),≥ 20,17.48 - 20.62,"F-017PW, Note (6)",Y,For below ground pipeline welds only,600K5HUG,"Pipe line class 600K5H (UG). Design code ASME B31.8. Design temperature range -40 / 95 deg C. Material LTCS NACE - API X60 (SMLS). Diameter ≥ 20 in. Thickness range 17.48 - 20.62 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For below ground pipeline welds only.",20,100
176,600P21,ASME B31.3,-120 / 180,316/316L SS,1/2 - 3,3.73 - 5.56,25AW,N,"SW only for legacy lines < 2""",600P21,"Pipe line class 600P21. Design code ASME B31.3. Design temperature range -120 / 180 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.73 - 5.56 mm. WPS number 25AW. PWHT N. Comments SW only for legacy lines < 2"".",0.5,3
177,600P21,ASME B31.3,-120 / 180,316/316L SS,> 3,12.70 - 50.0,14AW,N,"SW only for legacy lines < 2""",600P21,"Pipe line class 600P21. Design code ASME B31.3. Design temperature range -120 / 180 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 12.70 - 50.0 mm. WPS number 14AW. PWHT N. Comments SW only for legacy lines < 2"".",3.1,100
178,600P22,ASME B31.3,-46 / 350,316/316L SS,1/2 - 3,3.73 - 7.82,25AW,N,,600P22,Pipe line class 600P22. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.82 mm. WPS number 25AW. PWHT N.,0.5,3
179,600P22,ASME B31.3,-46 / 350,316/316L SS,> 3,12.70 - 50.0,14AW,N,,600P22,Pipe line class 600P22. Design code ASME B31.3. Design temperature range -46 / 350 deg C. Material 316/316L SS. Diameter > 3 in. Thickness range 12.70 - 50.0 mm. WPS number 14AW. PWHT N.,3.1,100
180,900A80,ASME B31.3,-40 / 300,Incoloy 825,1/2 - 6,3.68 - 10.97,51AW,N,,900A80,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material Incoloy 825. Diameter 1/2 - 6 in. Thickness range 3.68 - 10.97 mm. WPS number 51AW. PWHT N.,0.5,6
181,900A80,ASME B31.3,-40 / 300,Incoloy 825,8 - 24,12.70 - 24.61,54AW,N,,900A80,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material Incoloy 825. Diameter 8 - 24 in. Thickness range 12.70 - 24.61 mm. WPS number 54AW. PWHT N.,8,24
182,900A80,ASME B31.3,-40 / 300,Incoloy 825,30,30,Contact MI Engineer,N,,900A80,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material Incoloy 825. Diameter 30 in. Thickness range 30 mm. WPS number Contact MI Engineer. PWHT N.,30,30
183,900A80,ASME B31.3,-40 / 300,316/316L SS,2 - 4,5.54 - 11.13,25AW/14AW,N,,900A80,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material 316/316L SS. Diameter 2 - 4 in. Thickness range 5.54 - 11.13 mm. WPS number 25AW/14AW. PWHT N.,2,4
184,900A80,ASME B31.3,-40 / 300,316/316L SS,24,46.02,14AW,N,,900A80,Pipe line class 900A80. Design code ASME B31.3. Design temperature range -40 / 300 deg C. Material 316/316L SS. Diameter 24 in. Thickness range 46.02 mm. WPS number 14AW. PWHT N.,24,24
185,900C80,ASME B31.3,-40 / 220,Incoloy 825,3/4-3,3.91 - 7.62,51AW,N,,900C80,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material Incoloy 825. Diameter 3/4-3 Solid in. Thickness range 3.91 - 7.62 mm. WPS number 51AW. PWHT N.,0.75,3
186,900C80,ASME B31.3,-40 / 220,LTCS + 3 mm 625 internal cladding,4 - 8,11.13 - 15.09,81AW,N see Note (7),,900C80,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 4 - 8 in. Thickness range 11.13 - 15.09 mm. WPS number 81AW. PWHT N see Note (7).,4,8
187,900C80,ASME B31.3,-40 / 220,LTCS + 3 mm 625 internal cladding,16,26.19,Contact MI Engineer,Y,,900C80,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material LTCS + 3 mm 625 internal cladding. Diameter 16 in. Thickness range 26.19 mm. WPS number Contact MI Engineer. PWHT Y.,16,16
188,900C80,ASME B31.3,-40 / 220,LTCS + 3 mm 825/625 internal cladding,18-36,29.36 - 57.00,Contact MI Engineer,Y,,900C80,Pipe line class 900C80. Design code ASME B31.3. Design temperature range -40 / 220 deg C. Material LTCS + 3 mm 825/625 internal cladding. Diameter 18-36 in. Thickness range 29.36 - 57.00 mm. WPS number Contact MI Engineer. PWHT Y.,18,36
189,900H21,ASME B31.3,-40 / 410,LTCS NACE,3/4 - 3,3.91 - 7.82,"20AW, for SW see Note (2)",N,"SW only for legacy lines < 2""",900H21,"Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 3.91 - 7.82 mm. WPS number 20AW, for SW see Note (2). PWHT N. Comments SW only for legacy lines < 2"".",0.75,3
190,900H21,ASME B31.3,-40 / 410,LTCS NACE,4 - 4,11.13 - 11.13,21AW,N,,900H21,Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 4 - 4 in. Thickness range 11.13 - 11.13 mm. WPS number 21AW. PWHT N.,4,4
191,900H21,ASME B31.3,-40 / 410,LTCS NACE,16 - 30,30.96 - 49.00,21PW,Y,,900H21,Pipe line class 900H21. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 16 - 30 in. Thickness range 30.96 - 49.00 mm. WPS number 21PW. PWHT Y.,16,30
192,900H25,ASME B31.3,-40 / 410,LTCS NACE,3/4 - 3,5.56 - 11.13,20AW,N,,900H25,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 3/4 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number 20AW. PWHT N.,0.75,3
193,900H25,ASME B31.3,-40 / 410,LTCS NACE,4 - 4,11.13 - 11.13,21AW,N,,900H25,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 4 - 4 in. Thickness range 11.13 - 11.13 mm. WPS number 21AW. PWHT N.,4,4
194,900H25,ASME B31.3,-40 / 410,LTCS NACE,16 - 24,30.96 - 52.37,21PW,Y,,900H25,Pipe line class 900H25. Design code ASME B31.3. Design temperature range -40 / 410 deg C. Material LTCS NACE. Diameter 16 - 24 in. Thickness range 30.96 - 52.37 mm. WPS number 21PW. PWHT Y.,16,24
195,900H5H (AG),ASME B31.8,-40 / 80,LTCS - SMYS≤ 42 ksi (290 Mpa),1/2 - 3,5.56 - 11.13,"F-001AW, Note (6)",N,For above ground welds only,900H5HAG,"Pipe line class 900H5H (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - SMYS≤ 42 ksi (290 Mpa). Diameter 1/2 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number F-001AW, Note (6). PWHT N. Comments For above ground welds only.",0.5,3
196,900H5H (AG),ASME B31.8,-40 / 80,LTCS - API X60 (SMLS),4 - 6,6.02 - 7.11,"F-002AW, Note (6)",N,For above ground welds only,900H5HAG,"Pipe line class 900H5H (AG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X60 (SMLS). Diameter 4 - 6 in. Thickness range 6.02 - 7.11 mm. WPS number F-002AW, Note (6). PWHT N. Comments For above ground welds only.",4,6
197,900H5H (UG),ASME B31.8,-40 / 80,LTCS - API X52 (SMLS),2,6,"F-001AW, Note (6)",N,For below ground pipeline welds only,900H5HUG,"Pipe line class 900H5H (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X52 (SMLS). Diameter 2 in. Thickness range 6 mm. WPS number F-001AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",2,2
198,900H5H (UG),ASME B31.8,-40 / 80,LTCS - API X60 (SMLS),4 - 6,6.02 - 6.35,"F-002AW, Note (6)",N,For below ground pipeline welds only,900H5HUG,"Pipe line class 900H5H (UG). Design code ASME B31.8. Design temperature range -40 / 80 deg C. Material LTCS - API X60 (SMLS). Diameter 4 - 6 in. Thickness range 6.02 - 6.35 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",4,6
199,900K21,ASME B31.3,-40 / 260,LTCS NACE,1/2 - 3,4.78 - 11.13,20PW,Y,,900K21,Pipe line class 900K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter 1/2 - 3 in. Thickness range 4.78 - 11.13 mm. WPS number 20PW. PWHT Y.,0.5,3
200,900K21,ASME B31.3,-40 / 260,LTCS NACE,> 3,11.13 - 59.0,21PW,Y,,900K21,Pipe line class 900K21. Design code ASME B31.3. Design temperature range -40 / 260 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 11.13 - 59.0 mm. WPS number 21PW. PWHT Y.,3.1,100
201,900K23,ASME B31.3,-46 / 200,LTCS NACE,1 - 3,9.09 - 11.07,20PW,Y,,900K23,Pipe line class 900K23. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS NACE. Diameter 1 - 3 in. Thickness range 9.09 - 11.07 mm. WPS number 20PW. PWHT Y.,1,3
202,900K23,ASME B31.3,-46 / 200,LTCS NACE,> 3,17.12 - 36.53,21PW,Y,,900K23,Pipe line class 900K23. Design code ASME B31.3. Design temperature range -46 / 200 deg C. Material LTCS NACE. Diameter > 3 in. Thickness range 17.12 - 36.53 mm. WPS number 21PW. PWHT Y.,3.1,100
203,900K5B (AG),ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,5.56 - 11.13,"F-001PW, Note (6)",Y,For above ground welds only,900K5BAG,"Pipe line class 900K5B (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only.",0.75,3
204,900K5B (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),4 - 12,8.56 - 15.88,"F-002PW, Note (6)",Y,For above ground welds only,900K5BAG,"Pipe line class 900K5B (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 8.56 - 15.88 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only.",4,12
205,900K5B (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),> 12,19.05 - 19.05,"F-017PW, Note (6)",Y,For above ground welds only,900K5BAG,"Pipe line class 900K5B (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 19.05 - 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only.",12.1,100
206,900K5B (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),≥ 6,7.92 - 7.92,"F-002AW, Note (6)",N,For below ground pipeline welds only,900K5BUG,"Pipe line class 900K5B (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter ≥ 6 in. Thickness range 7.92 - 7.92 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",6,100
207,900K5C (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),6 - 8,9.53 - 10.31,"F-002PW, Note (6)",Y,For above ground welds only,900K5CAG,"Pipe line class 900K5C (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 6 - 8 in. Thickness range 9.53 - 10.31 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only.",6,8
208,900K5C (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),6 - 8,8.74 - 9.53,"F-002AW, Note (6)",N,For below ground pipeline welds only,900K5CUG,"Pipe line class 900K5C (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 6 - 8 in. Thickness range 8.74 - 9.53 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",6,8
209,900K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - SMYS≤ 42 ksi (290 Mpa),3/4 - 3,5.56 - 11.13,"F-001PW, Note (6)",Y,For above ground welds only,900K5DAG,"Pipe line class 900K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - SMYS≤ 42 ksi (290 Mpa). Diameter 3/4 - 3 in. Thickness range 5.56 - 11.13 mm. WPS number F-001PW, Note (6). PWHT Y. Comments For above ground welds only.",0.75,3
210,900K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),4 - 12,8.56 - 15.88,"F-002PW, Note (6)",Y,For above ground welds only,900K5DAG,"Pipe line class 900K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter 4 - 12 in. Thickness range 8.56 - 15.88 mm. WPS number F-002PW, Note (6). PWHT Y. Comments For above ground welds only.",4,12
211,900K5D (AG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),> 12,19.05 - 19.05,"F-017PW, Note (6)",Y,For above ground welds only,900K5DAG,"Pipe line class 900K5D (AG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter > 12 in. Thickness range 19.05 - 19.05 mm. WPS number F-017PW, Note (6). PWHT Y. Comments For above ground welds only.",12.1,100
212,900K5D (UG),ASME B31.8,-40 / 90,LTCS NACE - API X60 (SMLS),≥ 6,7.92 - 11.10,"F-002AW, Note (6)",N,For below ground pipeline welds only,900K5DUG,"Pipe line class 900K5D (UG). Design code ASME B31.8. Design temperature range -40 / 90 deg C. Material LTCS NACE - API X60 (SMLS). Diameter ≥ 6 in. Thickness range 7.92 - 11.10 mm. WPS number F-002AW, Note (6). PWHT N. Comments For below ground pipeline welds only.",6,100
213,900P21,ASME B31.3,-140 / 350,316/316L SS,1/2 - 3,3.73 - 7.62,25AW,N,"SW only for legacy lines < 2""",900P21,"Pipe line class 900P21. Design code ASME B31.3. Design temperature range -140 / 350 deg C. Material 316/316L SS. Diameter 1/2 - 3 in. Thickness range 3.73 - 7.62 mm. WPS number 25AW. PWHT N. Comments SW only for legacy lines < 2"".",0.5,3
