Title,REV,NOTE,ITEM_NAME,ITEM_CODE,DESCRIPTION,LINE_CLASS,low_size_1,high_size_1,low_size_2,high_size_2,Unit,SEQ_NO
bb_fgp,U04,821,FLANGE,9006229,FLG WN 300# RF LTCS A694 F60 WT 19.05MM,300K5A,20,20,0,0,BB,3260
bb_fgp,U04,821,FLANGE,9006229,FLG WN 300# RF LTCS A694 F60 WT 19.05MM,300K5A,18,18,0,0,BB,3270
bb_fgp,U04,821,FLANGE,9006228,FLG WN 300# RF LTCS A694 F60 WT 20.62MM,300K5A,20,24,0,0,BB,3280
bb_fgp,U04,821,FLANGE,9006233,"FLG WN 300# RF LTCS A694 F60 WT 20.62MM, TAPERED AT WELDED END TO 9.53 MM",300K5A,24,24,0,0,BB,3290
bb_fgp,U04,821,FLANGE,9003441,FLG WN 300# RF LTCS A694 F60 WT 21.43MM,300K5A,10,10,0,0,BB,3300
bb_fgp,U04,821,FLANGE,9003442,FLG WN 300# RF LTCS A694 F60 WT SCH 120,300K5A,6,8,0,0,BB,3310
bb_fgp,U04,,BLIND,5615576,FLG BLIND 300# RF LTCS A350 LF2 CL.1,300K5A,0.75,3,0,0,BB,3320
bb_fgp,U04,817,FLANGE,5619832,FLG COMPACT 1500# RJ 2-1/4CR F22M WT 24.0MM,1500F22,14,14,0,0,BB,2120
bb_fgp,,,BLIND,9001450,FLG BLIND 300# RF LTCS A694 F60,300K5A,4,24,0,0,BB,3330
bb_fgp,U04,FS1,,9001518,FLG BLIND 600# RF LTCS A694 F60,300K5A,16,24,0,0,BB,3340
bb_fgp,,,FLANGE,9001459,FLG WN 300# RF LTCS A694 F60 WT 10.31MM SERIES A,300K5A,28,28,0,0,BB,3350
bb_fgp,,,BLIND,9001451,FLG BLIND 300# RF LTCS A694 F60 SERIES A,300K5A,28,28,0,0,BB,3360
bb_fgp,U04,FS1,FLANGE,5557036,FLG WN 600# RF LTCS A350 LF2 CL.1 SCH XS,300K5A,1,3,0,0,BB,3370
bb_fgp,,FS1,FLANGE,9001723,FLG WN 600# RF LTCS A694 F60 WT 6.02MM,300K5A,4,4,0,0,BB,3380
bb_fgp,,FS1,FLANGE,9001471,FLG WN 600# RF LTCS A694 F60 WT 6.35MM,300K5A,6,10,0,0,BB,3390
